,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet
2630,2021-01-31 20:05:17+00:00,Isai Huayta Guanilo,"Callao, Perú",178,0,0,[],@hermanocarozo @fitoflores @MEMEOPERU @KeikoFujimori 😂😂😂😂😂
2631,2021-01-31 20:03:56+00:00,Roxio,,20,1,1,[],"@KeikoFujimori, ¿a esto te refieres con mano dura? https://t.co/SI12Ncrauy"
2632,2021-01-31 20:03:28+00:00,hernan,,97,0,0,[],"@ScheuchMartin es el viejo lenguaje y viejo cuentazo de  izquierdas  y derechas  que  idiotizan a  los  peruanos, solo existen INTERESES privados sres, @KeikoFujimori JAMAS ganara¡"
2633,2021-01-31 20:02:30+00:00,daniel_rive,,43,0,1,[],@JoseWVilca @rlopezaliaga1 @KeikoFujimori @HDeSotoPeru @alvarosarco @Jali_Cotrina @sullama @PrimerPedal Lopez A.
2634,2021-01-31 20:00:23+00:00,Jorge Murgueytio,"Lima, Peru",8,0,0,[],@RojosyPolillas @diariocorreo @KeikoFujimori ¡¡¡JA JAJAJAJA...!!!
2635,2021-01-31 19:58:30+00:00,Nadia30,,94,0,0,[],@KeikoFujimori ejemplo madre electrocutada
2636,2021-01-31 19:57:20+00:00,Isai Huayta Guanilo,"Callao, Perú",178,0,1,[],"@TubinoCarlos @MEMEOPERU @KeikoFujimori El amor al Perú es lo que debe primar, no sus afectos personales hacia una candidata en particular. Rafael López Aliaga es el presidente que el Perú en estos momentos necesita y bien lo sabe. Saludos, Almirante."
2637,2021-01-31 19:55:59+00:00,Navegador,,4,0,0,[],@LorenzoAraujoB1 @LSuasal @rlopezaliaga1 @crushcultz @katymustdie19 @pensando_varon @nimajnebangel @KeikoFujimori @FiscaliaPeru Lorenzo Araujo Borja....Pum!!  crash!!  zuacate!!👍👍👍👍👍👍💪💪💪💪
2638,2021-01-31 19:54:36+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],"@peruchito30 @KeikoFujimori Ya de que eres pobrecito, se nota, pero un voto tuyo afecta a los más pobres usa la cabeza y si no la tienes asesorarse"
2639,2021-01-31 19:54:10+00:00,Daniel,,0,0,0,[],@KeikoFujimori Nunca
2640,2021-01-31 19:52:21+00:00,Lucía Valdez Romero,Perú ,1684,0,2,[],@TecnologaEmpre2 @chrisbustc @RPPNoticias @KeikoFujimori @aspauzarazuri @gerardolipe @spaciolibre @StevenCaldern9 @contracultural @DiarioDeCurwen @hurgamemoriaPE @JaimeChincha @ensustrece @KeikoFujimori JAMÁS aceptaría una entrevista con @ensustrece. No soportaría ni el primer minuto.
2641,2021-01-31 19:48:04+00:00,Tibisasalazar,,1,0,0,[],"@tema0902 @FSagasti @MartinVizcarraC @pcmperu @KeikoFujimori @PFuerzaPopular Se activaron los  ariendo , peruanos que no tenian un sueldo se estan ayundo con el pago de los arriendo de los venezolano ya es una fuente de un ingreso para la economia d peru no todo es malo tambien ahi cosas buenas que no lo dicen"
2642,2021-01-31 19:42:28+00:00,peruchito 30,"Lima, Peru. ",578,0,0,[],"@Harryruizurban1 @KeikoFujimori Harry, uhmmm pobrecito."
2643,2021-01-31 19:42:26+00:00,Tibisasalazar,,1,0,0,[],"@tema0902 @FSagasti @MartinVizcarraC @pcmperu @KeikoFujimori @PFuerzaPopular Le aclaro a ustedes los que estan sufriendo por los venezolano se vienen a peru ,dejame recordarle que gracias  a los venezoanos que vinieron a dar tambien su granito de arena a la economia  este pais ,ya que gracias a los venezo"
2644,2021-01-31 19:42:04+00:00,Sr. Di Mamami Condori,Peru,1227,0,2,[],Oiga miren esto @KeikoFujimori https://t.co/A0rVDOkUqt
2645,2021-01-31 19:37:24+00:00,lucas vargas ensico mulder,,94,0,0,[],@cosotec @MerinoDeLama @MartinVizcarraC @KeikoFujimori Cri cri cri
2646,2021-01-31 19:37:09+00:00,LOURDES DIAZ,Lima Peru,29,0,0,[],@KeikoFujimori Despierta hija! No la haces este año tampoco!!
2647,2021-01-31 19:36:03+00:00,campoli carlos,"San isidro, Peru",244,0,0,[],@JuanOrionF @KeikoFujimori Ahá.
2648,2021-01-31 19:34:05+00:00,Máximo DecimoMeridio,Lima,63,0,0,[],@stylexhardy jajajajajajaja @KeikoFujimori
2649,2021-01-31 19:28:38+00:00,Richard Munoz,Atlanta-USA Lima-Peru,43,7,11,[],"Profesionales, sin condenas. @dsalaverryv se aparto de FP cuando se dio cuenta que el Partido de @KeikoFujimori era una organizacion criminal dedicada a copar el CNM para poner y sacar jueces segun su conveniencia. De alli la desesperacion de Keiko por la Cazacion de Hinostroza. https://t.co/x1dcGvIT5G"
2650,2021-01-31 19:28:08+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],"@KeikoFujimori Si estarías en china hacer rato que te hubieran matado, asquerosa ratera"
2651,2021-01-31 19:27:46+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],@KeikoFujimori Una KK en gobierno
2652,2021-01-31 19:27:34+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],@KeikoFujimori Una asquerosa ratera quiere ser presidente
2653,2021-01-31 19:27:33+00:00,Cristhian jeanpierre,"Lima, Peru",31,0,0,[],"@Guiller33583997 @GeneralDelAire1 @KeikoFujimori son una vergüenza, y lo peor q le puede pasar al país https://t.co/hV0ufFOIcU"
2654,2021-01-31 19:27:07+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],"@KeikoFujimori Segunda vuelta ? Esta ratera vuela lejos, nose si tendrá KK en la cabeza, o ya está loca"
2655,2021-01-31 19:26:05+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],@babybartra @KeikoFujimori Que asco
2656,2021-01-31 19:25:43+00:00,Harry Robbinson@,"Lima, Peru",2,0,0,[],@jlcckoky @KeikoFujimori Otro ignorante
