,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet
669,2021-02-05 03:47:12+00:00,Párpados de miel,Perú,222,0,0,['NuevaConstitución'],"#NuevaConstitución con @Vero_Mendoza_F Presidenta y @rodrabanalJP15 al Congreso.
Juntos por un Nuevo Perú. https://t.co/aO18yx5ZjV"
670,2021-02-05 03:44:50+00:00,Dinamo George LaRoquet,Ecuador ,174,0,1,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc La explicación es sencilla
El criminal de Lenin y toda la derecha no quieren observadores internacionales de un proceso electoral podrido
Quieren como sea seguir en el poder

Esto es obrs del candidato perdedor Lasso y su chequera mal habida."
671,2021-02-05 03:44:12+00:00,TodosSonCorruptos,,623,1,16,[],@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Ahora vas a decir que Biden la mando detener a nombre del Imperio ? Huachaferias Progres.. jugando a las víctimas
672,2021-02-05 03:43:54+00:00,María Elena Villanueva Espinoza,,42,0,1,[],"@Vero_Mendoza_F @CulturasNP @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Verónica, votaré por ti, pero por favor, no hables peleando. Calma, Serenidad"
673,2021-02-05 03:43:41+00:00,Jorge Araujo,Perú,26,0,0,[],@Vero_Mendoza_F Para los ociosos así es que escóndete
674,2021-02-05 03:43:24+00:00,Bertha De Souza,,44,0,1,[],@AnahiDurandG @NuevoPeruMov @CancilleriaPeru @Defensoria_Peru @pavese @MirtyVas @Vero_Mendoza_F Fuerza 💚💪❤️
675,2021-02-05 03:43:23+00:00,Dinamo George LaRoquet,Ecuador ,174,0,0,[],"@AnahiDurandG @CancilleriaPeru @Defensoria_Peru @pavese @MirtyVas @Vero_Mendoza_F El criminal d Lenin y toda la derecha no permiten observadores internacionales estan fraguando el fraude porque en las encuestas estan perdidos
Y sepanlo, tienen 6 millones d papeletas
 ""mal impresas x error"" guardadas x ahí q aún no destruyen listas para robarnos la democracia"
676,2021-02-05 03:43:02+00:00,A. Carry-on,"Berlín, Alemania",46,0,0,[],@AnahiDurandG @socialholico @CancilleriaPeru @Defensoria_Peru @pavese @MirtyVas @Vero_Mendoza_F Por qué se supone que la detienen ?
677,2021-02-05 03:42:28+00:00,Pablo Enrique Ruiz Rojas,"Los Olivos, Peru",50,0,5,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc No está detenida, está Retenida"
678,2021-02-05 03:40:51+00:00,Jorge Araujo,Perú,26,0,0,[],"@marcyarevalo @MiguelA06756026 @Vero_Mendoza_F Lo único que saben estos asquerosos de la izquierda: Impuestos
Nada de incentivar y formalizar
Solo sirven para destruir y fomentar la ociosidad"
679,2021-02-05 03:40:19+00:00,Arturo,,11,0,5,[],"@Komntemos1 @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Este es un típico votante de Verónika Mendoza, se la pasan hablando de los privilegios de otros pero cuando se habla de los suyos reaccionan así, típico de los zurdos sufren por los pobres desde Miami 😂😂😂😂 https://t.co/siCr4jjnhB"
680,2021-02-05 03:40:07+00:00,diego,"Lima, Peru",9,0,12,[],"@kueno20 @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Gran comentario, inteligente y sagaz, genera inclusión, igualdad y amor...."
681,2021-02-05 03:39:56+00:00,Keller Rodríguez,"Callao, Peru",11,0,1,[],@DrCarlosGlave @CancilleriaPeru @Defensoria_Peru @pavese @MirtyVas @Vero_Mendoza_F Ya la dejaron entrar 🙌
682,2021-02-05 03:37:58+00:00,miller,,39,0,0,[],@Vero_Mendoza_F Terrible mensaje .. lamentable .. pobre país
683,2021-02-05 03:37:03+00:00,Mara 🇪🇨 Jox🖤 #LeninChau,Ecuador,3275,0,7,['FraudeElectoral'],@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc No al #FraudeElectoral en Ecuador
684,2021-02-05 03:36:14+00:00,ℚ Antonio Red Eyes ®™,,231,0,1,[],@GrocioHerrada @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc QUe se que allí.
685,2021-02-05 03:36:04+00:00,Juan Bazan B.,Lima,382,0,0,[],"@Vero_Mendoza_F El deplorable izquierdismo comunistoide y otras bombas igual que el que esta entado en palacio, habla mucho,  gerencia poco ..."
686,2021-02-05 03:35:44+00:00,Paul Sotomayor,,303,3,24,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Las más grandes disculpas como ecuatoriano a la comunidad internacional por la postura del gobierno del presidente Lenin, quién no nos representa. Su aceptación es de un dígito (~7%) la peor que un presidente ecuatoriano haya teniendo en la historia de la República de Ecuador."
687,2021-02-05 03:34:32+00:00,Jorge Gavilan💎,,290,0,1,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Que se quede en Ecuador
Los enemigos del Perú deben quedarse en otro país"
688,2021-02-05 03:33:22+00:00,Grocio Herrada Vigo,"San isidro, Peru",1934,2,49,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Amigos ecuatorianos, reténgala hasta el 12 de abril de 2021."
689,2021-02-05 03:33:07+00:00,Cecilia delgado,"Chiclayo, Peru",4,0,0,[],@Vero_Mendoza_F @alferdez Amiguita Apoya a la vacuna peruana !!!
690,2021-02-05 03:32:50+00:00,MNP-Italia,,16,0,1,[],@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Exigimos su inmediata libertad!
691,2021-02-05 03:32:15+00:00,Herminia Cruz,,2,0,6,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Inaceptable esta abusiva detención, libertad para @AnahiDurandG"
692,2021-02-05 03:31:59+00:00,Gustavo Alvarez,,5,0,3,[],"@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Totalmente arbitrario, ilegal y antidemocrático."
693,2021-02-05 03:31:16+00:00,💞ᏉᎥᏒᎶuᎥᏆ💞🏳️‍🌈🇵🇪,PERU,35551,3,1,[],Que miedo !!! Que opina @sigridbazan y @Vero_Mendoza_F https://t.co/JwfwSsDZeh
694,2021-02-05 03:30:57+00:00,Komntemos,,2,0,0,[],"@alanlaguna4 @Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc TROLL APRENDE A ESCRIBIR. 
PACO PACOJUDO NOMÁS SIRVES!!"
695,2021-02-05 03:30:38+00:00,𝕵.𝕷𝖚𝖉𝖜𝖎𝖌 ❾❶❶,Qatar,832,1,6,[],@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Porque. ? Llevaba droga  ?
696,2021-02-05 03:28:31+00:00,Martin Barraza,Cusco,9,0,6,[],@Vero_Mendoza_F @AnahiDurandG @JuntosporPeru @CancilleriaPeru @CancilleriaEc Habría que averiguar primero el motivo de su retención.
